strategy_name,scenario,seed,implementation_shortfall_bps,execution_cost,market_impact_cost,total_transaction_fees,completion_rate,average_execution_price,arrival_price,vwap_slippage_bps,terminal_penalty,turnover,reward_total,action_0_pct,action_1_pct,action_2_pct,action_3_pct
VWAP,stress,2024,24.12901380518828,41274.000153983754,4081.5507567290374,50.0,1.0,177.11983392423014,176.70759392269028,11.203355811272539,0.0,17711983.392423015,,,,,
POV,stress,2024,21.585585003835657,37729.31385756795,6785.883243311548,50.0,1.0,177.08438706126597,176.70759392269028,11.193040572855507,0.0,17708438.706126597,,,,,
DQN,stress,2024,19.139631316294132,33437.523250930135,7343.8467583418005,49.99891123693612,0.9999782247387222,177.0414144718607,176.70759392269028,6.5048912165004795,7.18636049290474,17703759.119540308,,,,,
Regime-Aware DQN,stress,2024,19.99095806448643,34901.03871767344,7461.464846039658,49.99128920453329,0.999825784090666,177.05575138157434,176.70759392269028,7.33835272092281,49.619021082232535,17702498.867616154,,,,,
DQN (shuffled regime),stress,2024,19.473783591524512,34005.50183164481,7340.263578627331,49.99615038212091,0.9999230076424184,177.04696150889922,176.70759392269028,6.829867088834592,23.017837325181564,17703343.43640454,,,,,
PPO,stress,2024,23.619946820409744,41161.95847828065,6083.968860913176,49.58350010277129,0.9916700020554255,177.10500510610785,176.70759392269028,10.185385716160166,2001.4167399557539,17565978.57471464,,,,,
Regime-Aware PPO,stress,2024,21.75394341700892,38031.264731437055,7398.0251723357205,49.99983456696762,0.9999966913393521,177.08740295011378,176.70759392269028,9.176013901292015,0.434907794752062,17708681.39105302,,,,,
PPO (shuffled regime),stress,2024,20.752506532927267,36239.79003013861,6599.36191827218,49.94895926270324,0.9989791852540648,177.0680441189382,176.70759392269028,8.078634418413694,164.964777142042,17688661.925913498,,,,,
TWAP,stress,42,36.752428105314685,52181.077616066366,3405.6798126861236,50.0,1.0,142.1071025035516,141.58579172739095,12.001450425301739,0.0,14210710.250355158,,,,,
VWAP,stress,42,36.502093160447224,51805.81594093302,3451.6483796368043,50.0,1.0,142.10334988680026,141.58579172739095,11.751502330428586,0.0,14210334.98868003,,,,,
POV,stress,42,28.116899638646036,40043.08125798285,5861.176006797871,50.0,1.0,141.98572253997074,141.58579172739095,13.083566528857656,0.0,14198572.253997074,,,,,
DQN,stress,42,35.46563773105548,50596.097119236416,5607.29216577865,43.39714416089662,0.8679428832179324,141.92058204445587,141.58579172739095,-0.6539958682186999,30626.0330635789,12275351.07806925,,,,,
Regime-Aware DQN,stress,42,31.8059285427718,45414.4072649507,5703.030500934969,48.246520950623854,0.9649304190124771,141.97059881354798,141.58579172739095,2.829913143537792,8014.888373980685,13663824.517632408,,,,,
DQN (shuffled regime),stress,42,31.139253463609,44370.35117829185,6104.045487095707,48.06835465896738,0.9613670931793478,141.95890545546635,141.58579172739095,1.9798053997128855,11097.844107299115,13613982.534313349,,,,,
PPO,stress,42,31.430584216707008,44700.97963787754,6404.727891642575,49.98201586665193,0.9996403173330387,142.0321557432777,141.58579172739095,6.866184333581818,46.817154241576404,14197958.035600504,,,,,
Regime-Aware PPO,stress,42,26.626931614982652,37830.18471684466,5858.766801913572,49.98705836716561,0.9997411673433122,141.96327143106043,141.58579172739095,2.2586462772380225,42.548267115092735,14192638.752877768,,,,,
PPO (shuffled regime),stress,42,28.060723131903107,40554.500976564945,5587.668699449768,49.605901547911124,0.9921180309582224,141.9838902976561,141.58579172739095,3.066345522358377,1867.9733294282466,14080700.392833045,,,,,
TWAP,low_liquidity,2024,28.677848021888977,44771.56811365583,1066.9595927555215,32.615479539725555,0.652309590794511,156.77941318294492,156.33389489604522,24.667401351879132,15042.123293300332,10227561.554682082,,,,,
VWAP,low_liquidity,2024,28.717939934482065,44833.60088143252,1077.182019419105,32.78054055436074,0.6556108110872146,156.7809958954572,156.33389489604522,24.76837634394524,14878.387223988606,10279666.20776824,,,,,
POV,low_liquidity,2024,26.661082018140082,41594.77584698949,594.7980221595378,22.0568375659827,0.44113675131965396,156.6651154206199,156.33389489604522,17.358271938114292,26523.069692092475,6911704.00646705,,,,,
DQN,low_liquidity,2024,26.91133967049047,41974.34292216283,412.511967781574,12.544282687806604,0.25088565375613214,156.52471322740865,156.33389489604522,8.36513627649653,37205.2520124209,3926672.0796870817,,,,,
Regime-Aware DQN,low_liquidity,2024,29.482690706377134,45969.758982366795,192.93245606130685,5.369011572954621,0.1073802314590924,156.4408023784226,156.33389489604522,3.0067270313294148,44691.38128852363,1678189.672322192,,,,,
DQN (shuffled regime),low_liquidity,2024,26.742444787056222,41724.125650037335,569.3210241970805,18.322119439121543,0.3664423887824309,156.59710749496392,156.33389489604522,12.997572635560381,32151.684379365528,5738032.22037391,,,,,
PPO,low_liquidity,2024,28.686647814215895,44787.67046715177,1092.3972288030575,33.05935147805561,0.6611870295611122,156.78138656259821,156.33389489604522,24.792974836971162,14492.322357372432,10367084.506118279,,,,,
Regime-Aware PPO,low_liquidity,2024,28.70080135811947,44809.98624774919,1093.5082811731893,33.08525634897405,0.6617051269794809,156.78149571636737,156.33389489604522,24.799907105781134,14487.05361496194,10375271.383101014,,,,,
PPO (shuffled regime),low_liquidity,2024,28.70080135811947,44809.98624774919,1093.5082811731893,33.08525634897405,0.6617051269794809,156.78149571636737,156.33389489604522,24.799907105781134,14487.05361496194,10375271.383101014,,,,,
TWAP,low_liquidity,777,19.186430564656536,27921.88080948055,706.7643732964909,29.862373808663428,0.5972474761732686,145.81126461426095,145.50269626500886,24.088680678050775,9826.093663134798,8706860.483508948,,,,,
VWAP,low_liquidity,777,19.236412812540927,27994.68883523298,716.7360943542801,30.039630167264875,0.6007926033452974,145.8122520683966,145.50269626500886,24.156672753359498,9686.681288301967,8758634.552323477,,,,,
POV,low_liquidity,777,16.376771617938058,23819.84525596119,394.259734950899,20.135780058288567,0.4027156011657713,145.70587903886994,145.50269626500886,16.844233986754347,15860.575221758392,5866678.99485209,,,,,
DQN,low_liquidity,777,17.243393341643568,25085.285680723213,647.7824628138109,26.120762832384035,0.5224152566476806,145.76457633193522,145.50269626500886,20.884945012145764,11365.371921594844,7611278.054033082,,,,,
Regime-Aware DQN,low_liquidity,777,16.01491259009561,23290.801171463,451.8767179100151,16.738219104777723,0.3347643820955544,145.6720614246746,145.50269626500886,14.519886395339686,17053.13233945872,4875763.886731285,,,,,
DQN (shuffled regime),low_liquidity,777,16.018665692829245,23300.798360579556,531.7204759053106,21.169053675247905,0.4233810735049582,145.7137871922529,145.50269626500886,17.390799347368663,14163.678647560195,6166873.162096626,,,,,
PPO,low_liquidity,777,19.262644150492214,28033.013506286596,724.8360930424709,30.203670087432855,0.604073401748657,145.81344291133928,145.50269626500886,24.238560233154285,9579.634891977757,8806532.96584114,,,,,
Regime-Aware PPO,low_liquidity,777,19.283081503545365,28062.743525986825,723.5747496422848,30.16440730753544,0.6032881461507088,145.81349866849112,145.50269626500886,24.242412504979203,9616.899154505152,8795065.670575012,,,,,
PPO (shuffled regime),low_liquidity,777,19.2804761886673,28059.002320576812,724.0122783423019,30.175831870689773,0.6035166374137955,145.81346055514987,145.50269626500886,24.23978150473494,9609.138050402455,8798419.799897185,,,,,
TWAP,low_liquidity,123,31.90258965471516,48233.78261682785,1613.597326978081,35.30593395183905,0.7061186790367812,151.82735609199742,151.34638366823884,25.36602983146897,12846.436351490072,10721435.57849003,,,,,
VWAP,low_liquidity,123,31.764435004435104,48023.05213522764,1638.5701746553727,35.579883384821905,0.7115976676964383,151.8266149630757,151.34638366823884,25.317759364473297,12497.079989630383,10804697.688885946,,,,,
POV,low_liquidity,123,30.184116368937275,45628.20607292574,985.8020783847159,25.185098156035767,0.5037019631207154,151.72524973021294,151.34638366823884,18.623588633621626,24825.61577274165,7644737.948928739,,,,,
DQN,low_liquidity,123,31.966489598664925,48310.011455941385,466.42144481333287,11.625610183602008,0.2325122036720401,151.53426819605994,151.34638366823884,6.014196610162668,43526.34662755419,3522674.167129896,,,,,
