rq,treatment,control,scope,level,n,mean,ci_low,ci_high,p_value,win_rate,n_seeds,seed_std,seeds_favouring
RQ1,PPO,TWAP,ALL,window,900,-0.14339274874034963,-0.7992230931107882,0.5184433747229664,0.014381381569068064,0.5533333333333333,,,
RQ1,PPO,TWAP,ALL,seed,5,-0.14339274874034952,,,,0.6,5.0,0.5842994323258914,3.0
RQ1,PPO,TWAP,high_volatility,window,150,-0.4221089277242781,-2.3449365129490856,1.4785116445319284,0.2990380093065681,0.5666666666666667,,,
RQ1,PPO,TWAP,high_volatility,seed,5,-0.4221089277242781,,,,0.4,5.0,1.871916733702429,2.0
RQ1,PPO,TWAP,liquidity_shock,window,150,1.566253113455574,0.09119582513133684,3.063853009964559,0.4367451469119724,0.5066666666666667,,,
RQ1,PPO,TWAP,liquidity_shock,seed,5,1.566253113455574,,,,0.4,5.0,3.989200059709528,2.0
RQ1,PPO,TWAP,low_liquidity,window,150,-1.8800114979823577,-2.936810138389419,-0.9354494230284156,1.5867426696664234e-05,0.6466666666666666,,,
RQ1,PPO,TWAP,low_liquidity,seed,5,-1.8800114979823583,,,,1.0,5.0,1.2823558632140188,5.0
RQ1,PPO,TWAP,normal,window,150,-2.0039235681363934,-2.96128852593115,-0.9730720040125231,3.5315071371460245e-05,0.6466666666666666,,,
RQ1,PPO,TWAP,normal,seed,5,-2.003923568136393,,,,1.0,5.0,1.1680321593385858,5.0
RQ1,PPO,TWAP,regime_transition,window,150,1.6260231205693123,-0.4146891780217104,3.8096505628923696,0.1209707344539085,0.4533333333333333,,,
RQ1,PPO,TWAP,regime_transition,seed,5,1.6260231205693123,,,,0.0,5.0,1.7257946485877214,0.0
RQ1,PPO,TWAP,stress,window,150,0.2534112673760458,-1.3894386082355106,1.842661963035339,0.5327263446722279,0.5,,,
RQ1,PPO,TWAP,stress,seed,5,0.2534112673760459,,,,0.4,5.0,1.5279288378371179,2.0
RQ1,PPO,TWAP,TURBULENT,window,600,0.7558946434191635,-0.1985706740192779,1.6751386873155742,0.4039872144106288,0.5066666666666667,,,
RQ1,PPO,TWAP,TURBULENT,seed,5,0.7558946434191636,,,,0.2,5.0,0.7165069436721884,1.0
RQ1,PPO,VWAP,ALL,window,900,-0.049416821692963,-0.7065469313930507,0.6221183216833933,0.038723229728484375,0.5255555555555556,,,
RQ1,PPO,VWAP,ALL,seed,5,-0.049416821692963,,,,0.6,5.0,0.5546225475979668,3.0
RQ1,PPO,VWAP,high_volatility,window,150,-0.27288656589903676,-2.1992952141924267,1.6591457786805994,0.2551458529060011,0.5266666666666666,,,
RQ1,PPO,VWAP,high_volatility,seed,5,-0.2728865658990366,,,,0.4,5.0,1.870365966715774,2.0
RQ1,PPO,VWAP,liquidity_shock,window,150,1.5624883196524073,0.11602380474480656,3.0557997234498644,0.3906829096403919,0.46,,,
RQ1,PPO,VWAP,liquidity_shock,seed,5,1.562488319652407,,,,0.4,5.0,3.920334347987619,2.0
RQ1,PPO,VWAP,low_liquidity,window,150,-1.9086996932479634,-3.005773957059306,-0.9366393349829671,1.2173771292966871e-05,0.64,,,
RQ1,PPO,VWAP,low_liquidity,seed,5,-1.9086996932479632,,,,1.0,5.0,1.2928469835103311,5.0
RQ1,PPO,VWAP,normal,window,150,-2.031493274333114,-3.002829596926561,-0.9856820568127832,3.362320857738189e-05,0.6533333333333333,,,
RQ1,PPO,VWAP,normal,seed,5,-2.031493274333114,,,,1.0,5.0,1.191096729351371,5.0
RQ1,PPO,VWAP,regime_transition,window,150,1.866755031593315,-0.20737829270184638,4.104638008083346,0.07006206367136372,0.4266666666666667,,,
RQ1,PPO,VWAP,regime_transition,seed,5,1.8667550315933148,,,,0.0,5.0,1.631998465774078,0.0
RQ1,PPO,VWAP,stress,window,150,0.4873352520766133,-1.1944442137198747,2.1429719552010886,0.26306469993539905,0.44666666666666666,,,
RQ1,PPO,VWAP,stress,seed,5,0.4873352520766135,,,,0.4,5.0,1.6234428902637184,2.0
RQ1,PPO,VWAP,TURBULENT,window,600,0.9109230093558246,-0.05100768027319837,1.832735861944608,0.18756588657024909,0.465,,,
RQ1,PPO,VWAP,TURBULENT,seed,5,0.9109230093558247,,,,0.0,5.0,0.6622012253948465,0.0
RQ1,PPO,POV,ALL,window,900,2.364105909953151,0.47049800436899086,4.27972165648632,0.4534510400287216,0.5144444444444445,,,
RQ1,PPO,POV,ALL,seed,5,2.364105909953151,,,,0.2,5.0,3.6107939204244714,1.0
