rq,treatment,control,scope,level,n,mean,ci_low,ci_high,p_value,win_rate,n_seeds,seed_std,seeds_favouring
RQ1,Regime-Aware PPO,POV,ALL,window,63,-0.79301974810418,-3.698403175520807,2.0706525793184065,0.20746124271198574,0.6031746031746031,,,
RQ1,Regime-Aware PPO,POV,ALL,seed,1,-0.7930197481041799,,,,1.0,1.0,,1.0
RQ1,Regime-Aware PPO,POV,aapl_real,window,63,-0.79301974810418,-3.698403175520807,2.0706525793184065,0.20746124271198574,0.6031746031746031,,,
RQ1,Regime-Aware PPO,POV,aapl_real,seed,1,-0.7930197481041799,,,,1.0,1.0,,1.0
RQ2,Regime-Aware DQN,DQN,ALL,window,63,-0.4339299519020255,-1.7291801332506374,0.9939292952603094,0.08408552291316952,0.5873015873015873,,,
RQ2,Regime-Aware DQN,DQN,ALL,seed,1,-0.43392995190202555,,,,1.0,1.0,,1.0
RQ2,Regime-Aware DQN,DQN,aapl_real,window,63,-0.4339299519020255,-1.7291801332506374,0.9939292952603094,0.08408552291316952,0.5873015873015873,,,
RQ2,Regime-Aware DQN,DQN,aapl_real,seed,1,-0.43392995190202555,,,,1.0,1.0,,1.0
RQ2,Regime-Aware PPO,PPO,ALL,window,63,0.028359886816060074,-2.2041299853473135,2.5032627578470135,0.3198265266052379,0.5396825396825397,,,
RQ2,Regime-Aware PPO,PPO,ALL,seed,1,0.028359886816060016,,,,0.0,1.0,,0.0
RQ2,Regime-Aware PPO,PPO,aapl_real,window,63,0.028359886816060074,-2.2041299853473135,2.5032627578470135,0.3198265266052379,0.5396825396825397,,,
RQ2,Regime-Aware PPO,PPO,aapl_real,seed,1,0.028359886816060016,,,,0.0,1.0,,0.0
