scenario,seed,strategy,window,implementation_shortfall_bps,implementation_shortfall,total_execution_cost,total_impact_cost,total_transaction_fees,terminal_penalty,fill_rate,vwap_slippage_bps,average_execution_price,arrival_price,vwap_market_price,executed_inventory,remaining_inventory,window_start
liquidity_shock,2024,POV,0,24.487911118150706,9771.094968310277,9784.158492958244,318.3030159936202,13.063524647966352,0.0,1.0,23.78340163790222,153.0958173889092,152.72183352040435,152.7325673895678,26127.049295932702,0.0,4200
liquidity_shock,2024,POV,1,-92.81321745627857,-68921.18525564499,-68896.35752599462,1698.9391649376273,24.827729650360297,0.0,0.9999999999999999,31.303305745718486,148.15839236496143,149.54638043769776,147.6960548886,49655.45930072059,0.0,4290
liquidity_shock,2024,POV,2,59.68663639461421,31355.31317552135,31373.292272646147,374.57278324061684,17.97909712479825,0.0,0.9999999999999998,33.46752591316201,146.96726626865365,146.0952727264342,146.47704384260507,35958.1942495965,0.0,4380
liquidity_shock,2024,POV,3,54.84604234458414,20956.076110436174,20969.134389611932,284.9403241465823,13.058279175756986,0.0,1.0000000000000002,29.95182686940207,147.10388844206258,146.30148271048114,146.66460116785763,26116.558351513973,0.0,4470
liquidity_shock,2024,POV,4,-11.933873815490472,-4464.198212658812,-4451.503621738172,289.08885128243537,12.694590920639516,0.0,0.9999999999999999,24.16254236653686,147.1616778136083,147.33750853712536,146.8069548868926,25389.18184127903,0.0,4560
liquidity_shock,2024,POV,5,16.652077458945467,7849.7202434642195,7865.8243314696165,262.3401594159562,16.104088005396893,0.0,1.0000000000000002,25.491956742819607,146.60278309280733,146.35906484434665,146.23001417322675,32208.176010793788,0.0,4650
liquidity_shock,2024,POV,6,27.24824269637108,11604.773955001074,11619.337613261052,178.0847099831899,14.563658259977947,0.0,1.0000000000000002,32.83333503561786,146.6153623990569,146.21694691347483,146.13555064954778,29127.316519955893,0.0,4740
liquidity_shock,2024,POV,7,49.096016091656395,15592.157829216856,15602.992115746376,122.82158868976757,10.834286529520593,0.0,1.0000000000000002,27.97315187034053,147.28436705352442,146.56479231333586,146.87351553793707,21668.573059041188,0.0,4830
liquidity_shock,2024,POV,8,24.793450832130574,7637.737997856511,7648.215940992484,221.128308646464,10.477943135973053,0.0,0.9999999999999997,24.31449835098491,147.36596058545285,147.0014931561711,147.008516751639,20955.886271946103,0.0,4920
liquidity_shock,2024,POV,9,7.8547786420665355,3372.0133917698213,3386.5437469184085,342.9589057918957,14.53035514858723,0.0,0.9999999999999998,22.605722347582685,147.83937229317308,147.72333888045577,147.50592449579554,29060.710297174457,0.0,5010
