rq,treatment,control,scope,level,n,mean,ci_low,ci_high,p_value,win_rate,n_seeds,seed_std,seeds_favouring
RQ1,DQN,POV,ALL,window,480,27.937825789769235,19.56716386356694,37.467930987418924,0.0007136547356655403,0.47291666666666665,,,
RQ1,DQN,POV,ALL,seed,4,27.937825789769235,,,,0.0,4.0,12.686787763482783,0.0
RQ1,DQN,POV,high_volatility,window,80,21.50830908772111,4.14096282226378,39.97801706706493,0.0369437690902368,0.4125,,,
RQ1,DQN,POV,high_volatility,seed,4,21.508309087721113,,,,0.5,4.0,41.342144121394625,2.0
RQ1,DQN,POV,liquidity_shock,window,80,2.75827915450522,-4.766274820437142,11.75874358521731,0.8291179837454193,0.5125,,,
RQ1,DQN,POV,liquidity_shock,seed,4,2.75827915450522,,,,0.25,4.0,5.146653098329028,1.0
RQ1,DQN,POV,low_liquidity,window,80,-2.064602158971428,-8.171484283843826,4.903198603244013,0.07836756324274503,0.55,,,
RQ1,DQN,POV,low_liquidity,seed,4,-2.0646021589714274,,,,0.75,4.0,3.087659435595033,3.0
RQ1,DQN,POV,normal,window,80,-1.0396219438142738,-6.452626422446382,4.39053283806942,0.4543269856944018,0.5875,,,
RQ1,DQN,POV,normal,seed,4,-1.039621943814274,,,,0.25,4.0,6.663263095241668,1.0
RQ1,DQN,POV,regime_transition,window,80,-2.4070522898095534,-13.134045302558764,8.558512084551737,0.2869774184344074,0.6,,,
RQ1,DQN,POV,regime_transition,seed,4,-2.4070522898095525,,,,0.5,4.0,12.143081056524805,2.0
RQ1,DQN,POV,stress,window,80,148.87164288898433,112.21463431907637,189.4637540746971,6.262281290493262e-11,0.175,,,
RQ1,DQN,POV,stress,seed,4,148.87164288898433,,,,0.0,4.0,46.610757618853995,0.0
RQ1,DQN,POV,TURBULENT,window,320,42.68279471035028,29.556286599793932,56.080942228844116,9.411197223921517e-07,0.425,,,
RQ1,DQN,POV,TURBULENT,seed,4,42.68279471035028,,,,0.0,4.0,16.81239732471041,0.0
RQ1,PPO,TWAP,ALL,window,480,-0.1589748632199953,-1.7208861832644142,1.4854543574446644,0.0026927749755101347,0.575,,,
RQ1,PPO,TWAP,ALL,seed,4,-0.1589748632199947,,,,0.5,4.0,2.0052885078560854,2.0
RQ1,PPO,TWAP,high_volatility,window,80,-2.1645949008366476,-6.384503721640118,2.0626279239822716,0.03962785441973122,0.6375,,,
RQ1,PPO,TWAP,high_volatility,seed,4,-2.1645949008366476,,,,0.5,4.0,3.8483889942386664,2.0
RQ1,PPO,TWAP,liquidity_shock,window,80,-4.127570672771639,-8.08779050021517,-0.785841634234457,0.039169337069032216,0.5875,,,
RQ1,PPO,TWAP,liquidity_shock,seed,4,-4.127570672771639,,,,0.75,4.0,3.7545441580463836,3.0
RQ1,PPO,TWAP,low_liquidity,window,80,-0.8434825780874544,-2.072851164214185,0.4525791190679783,0.053841762361592396,0.6,,,
RQ1,PPO,TWAP,low_liquidity,seed,4,-0.8434825780874542,,,,0.75,4.0,1.3479272077145392,3.0
RQ1,PPO,TWAP,normal,window,80,-0.5484497704412623,-2.300440236005324,1.5103754842291537,0.021054031875304965,0.675,,,
RQ1,PPO,TWAP,normal,seed,4,-0.5484497704412621,,,,0.75,4.0,2.91572408070992,3.0
RQ1,PPO,TWAP,regime_transition,window,80,2.139500294628362,-2.038652464492806,6.950178335489393,0.6941012047381729,0.4375,,,
RQ1,PPO,TWAP,regime_transition,seed,4,2.1395002946283617,,,,0.5,4.0,5.362223263738337,2.0
RQ1,PPO,TWAP,stress,window,80,4.590748448188672,-1.0167177961544498,10.698213562851052,0.3723342874702781,0.5125,,,
RQ1,PPO,TWAP,stress,seed,4,4.590748448188672,,,,0.25,4.0,5.934667611391558,1.0
RQ1,PPO,TWAP,TURBULENT,window,320,0.10952079230218673,-2.1746418810282813,2.4705180744713675,0.09625230953271585,0.54375,,,
RQ1,PPO,TWAP,TURBULENT,seed,4,0.10952079230218681,,,,0.5,4.0,2.600480779924433,2.0
RQ1,PPO,VWAP,ALL,window,480,-0.1680044125880175,-1.7919792635347807,1.535342875991524,0.015091793220148175,0.5666666666666667,,,
RQ1,PPO,VWAP,ALL,seed,4,-0.1680044125880174,,,,0.75,4.0,1.4382330042145053,3.0
RQ1,PPO,VWAP,high_volatility,window,80,-2.462449635488612,-6.785433981760815,2.013589953987703,0.0378207282004652,0.6125,,,
RQ1,PPO,VWAP,high_volatility,seed,4,-2.462449635488612,,,,0.75,4.0,3.1052334636579566,3.0
RQ1,PPO,VWAP,liquidity_shock,window,80,-4.222925099007064,-8.255891120960523,-0.8300097368378129,0.044979294291392226,0.55,,,
RQ1,PPO,VWAP,liquidity_shock,seed,4,-4.222925099007064,,,,0.75,4.0,4.1178199714542405,3.0
RQ1,PPO,VWAP,low_liquidity,window,80,-0.8704605889867623,-2.1951034381691548,0.5207177044548392,0.13832626174513996,0.6375,,,
RQ1,PPO,VWAP,low_liquidity,seed,4,-0.8704605889867622,,,,0.75,4.0,1.2214384503605047,3.0
RQ1,PPO,VWAP,normal,window,80,-0.5703529301885781,-2.395761233389976,1.5456100568503084,0.0373800598003843,0.65,,,
